"ID","EventType","Framespan","DetectionScore","DetectionDecision"
"1","Embrace","5:4645","0.492435","0"
"2","Embrace","5445:5525","0.375500","0"
"3","Embrace","5645:5845","0.256500","0"
"4","Embrace","6085:6245","0.321500","0"
"5","Embrace","8685:10285","0.471114","0"
"6","Embrace","10445:10565","0.405000","0"
"7","Embrace","10685:11005","0.320000","0"
"8","Embrace","12205:12525","0.533429","1"
"9","Embrace","13525:13605","0.277500","0"
"10","Embrace","14525:14645","0.315333","0"
"11","Embrace","15445:15565","0.710000","1"
"12","Embrace","16045:16125","0.744000","1"
"13","Embrace","16925:17085","0.332333","0"
"14","Embrace","18325:18445","0.311000","0"
"15","Embrace","18605:18765","0.366750","0"
"16","Embrace","20925:21605","0.564250","1"
"17","Embrace","21725:21805","0.593500","1"
"18","Embrace","21925:22045","0.488000","0"
"19","Embrace","22925:23085","0.668400","1"
"20","Embrace","23405:23485","0.646333","1"
"21","Embrace","24205:24285","0.977000","1"
"22","Embrace","32805:32885","0.545000","1"
"23","Embrace","35245:35805","0.372750","0"
"24","Embrace","35965:36045","0.565000","1"
"25","Embrace","36645:36845","0.749500","1"
"26","Embrace","39005:39525","0.454857","0"
"27","Embrace","39645:40005","0.397300","0"
"28","Embrace","40205:40645","0.776400","1"
"29","Embrace","40805:40885","0.411000","0"
"30","Embrace","41885:41965","0.578000","1"
"31","Embrace","42085:42165","0.475000","0"
"32","Embrace","42285:42405","0.666000","1"
"33","Embrace","42565:42725","0.522200","1"
"34","Embrace","43885:44045","0.568750","1"
"35","Embrace","44205:44365","0.444750","0"
"36","Embrace","44485:44605","0.385000","0"
"37","Embrace","44765:44845","0.376667","0"
"38","Embrace","45565:45725","0.527800","1"
"39","Embrace","46245:46365","0.666500","1"
"40","Embrace","46805:47365","0.565000","1"
"41","Embrace","47565:47765","0.552500","1"
"42","Embrace","48205:48445","0.351857","0"
"43","Embrace","49245:49485","0.356833","0"
"44","Embrace","51165:51485","0.330375","0"
"45","Embrace","51725:51805","0.621000","1"
"46","Embrace","52245:52485","0.278286","0"
"47","Embrace","52605:52925","0.268125","0"
"48","Embrace","53445:53565","0.406750","0"
"49","Embrace","53845:53925","0.724667","1"
"50","Embrace","54485:54565","0.607500","1"
"51","Embrace","54685:55405","0.434474","0"
"52","Embrace","55525:56285","0.575842","1"
"53","Embrace","56405:56485","0.464667","0"
"54","Embrace","57605:57805","0.384800","0"
"55","Embrace","58605:58885","0.721286","1"
"56","Embrace","59085:59165","0.464500","0"
"57","Embrace","59285:59765","0.468769","0"
"58","Embrace","59885:60005","0.194250","0"
"59","Embrace","60205:60485","0.365571","0"
"60","Embrace","60765:62285","0.454758","0"
"61","Embrace","62645:62965","0.310714","0"
"62","Embrace","63085:63205","0.457250","0"
"63","Embrace","63325:64445","0.486769","0"
"64","Embrace","64925:65045","0.461250","0"
