"MasterKey","File","Event","TYPE","R.ID","R.range","Dur.r","S.ID","S.range","Dur.s","S.DetScr","S.DetDec","ISec.range","Dur.ISec","Beg.r-Beg.s","End.r-End.s"
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000071205 | MAX: 000000071205 | KeySeparator: 000000000000","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","389","71205:71205","1","0.231000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000102735 | MAX: 000000103125 | KeySeparator: 000000000001","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","574","102735:103125","391","0.382368","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000052315 | MAX: 000000052315 | KeySeparator: 000000000002","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","261","52315:52315","1","0.142000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000015655 | MAX: 000000016295 | KeySeparator: 000000000003","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","81","15655:16295","641","0.246597","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000087265 | MAX: 000000087265 | KeySeparator: 000000000004","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","488","87265:87265","1","0.135000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000138925 | MAX: 000000138975 | KeySeparator: 000000000005","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","794","138925:138975","51","0.328250","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000033585 | MAX: 000000033585 | KeySeparator: 000000000006","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","133","33585:33585","1","0.262000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000064685 | MAX: 000000064775 | KeySeparator: 000000000007","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","343","64685:64775","91","0.234286","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000064355 | MAX: 000000064355 | KeySeparator: 000000000008","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","341","64355:64355","1","0.170000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000073425 | MAX: 000000073425 | KeySeparator: 000000000009","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","406","73425:73425","1","0.668000","YES","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000037735 | MAX: 000000037825 | KeySeparator: 000000000010","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","156","37735:37825","91","0.256300","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000111085 | MAX: 000000111105 | KeySeparator: 000000000011","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","638","111085:111105","21","0.168500","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000156925 | MAX: 000000157035 | KeySeparator: 000000000012","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","897","156925:157035","111","0.215545","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000078095 | MAX: 000000078115 | KeySeparator: 000000000013","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","430","78095:78115","21","0.146000","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000058045 | MAX: 000000058105 | KeySeparator: 000000000014","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","302","58045:58105","61","0.159143","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000012445 | MAX: 000000012635 | KeySeparator: 000000000015","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","66","12445:12635","191","0.208158","NO","","","",""
"Filename: LGW_20071123_E1_CAM1.mpeg | Event: CellToEar | MIN: 000000153805 | MAX: 000000153825 | KeySeparator: 000000000016","LGW_20071123_E1_CAM1.mpeg","CellToEar","Unmapped_Sys","","","","879","153805:153825","21","0.132500","NO","","","",""
